Ðò,»úÖÖÐÍºÅ,²úÆ·S/NÌõÂë,Éú²úÈÕÆÚ,Éú²úÏßÌå,Ä£¾ß±àÂë,ÖÎ¾ß±àºÅ,°ó¶¨²ÄÁÏ(BR),°ó¶¨²ÄÁÏ(FR),¿Õ¸ñ¼ü,¿¾¼ÜºÅ,¿¾Ïä±àºÅ,Done X/Y 100%Õ¾,Peak forceÕ¾,ÏäºÅ
-1,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2011061J,2024-03-20 21:54:53,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
1,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2011061J,2024-03-20 21:54:53,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
2,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2036591J,2024-03-20 21:54:42,Line16,19009A06 19006B02,X1777US0338,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
3,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2064581J,2024-03-20 21:55:54,Line16,19009A06 19006B02,X1777US0063,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
4,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2096771J,2024-03-20 21:56:04,Line16,19009A06 19006B02,X1777US0071,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
5,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2108441J,2024-03-20 21:54:07,Line16,19009A06 19006B02,X1777US0293,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
6,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2109631J,2024-03-20 21:55:18,Line16,19009A06 19006B02,X1777US0043,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
7,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2172881J,2024-03-20 21:55:44,Line16,19009A06 19006B02,X1777US0298,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
8,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2204011J,2024-03-20 21:54:58,Line16,19009A06 19006B02,X1777US0169,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
9,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2225481J,2024-03-20 21:53:26,Line16,19009A06 19006B02,X1777US0031,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323011400
